V (m/min),f (mm/rev),d (mm),np (vol. %),CF(N),Predicted RF,Predicted SVR
90,0.16,1.2,0.75,481.425,455.583,314.125
60,0.12,1.2,0.75,434,407.837,313.6
120,0.12,0.9,1.25,340.663,326.233,314.461
60,0.12,0.6,0.75,217,207.86,313.6
90,0.12,0.9,0.75,329.647,320.455,314.125
60,0.12,0.9,0.25,406,338.879,313.6
120,0.12,1.2,0.75,317.24,356.682,314.461
120,0.08,0.9,0.75,236.67,252.912,314.461
90,0.08,1.2,0.75,311.346,324.12,314.125
60,0.08,0.9,0.75,242.55,257.028,313.6
90,0.12,0.9,0.75,317.52,320.455,314.125
120,0.12,0.9,0.25,340.97,336.745,314.461
90,0.12,1.2,1.25,424.462,412.203,314.125
90,0.12,0.9,0.75,338.39,320.455,314.125
60,0.16,0.9,0.75,403.515,380.645,313.6
120,0.12,0.6,0.75,158.025,180.486,314.461
90,0.12,0.6,0.25,199.92,198.683,314.125
90,0.08,0.6,0.75,126.787,196.649,314.125
90,0.08,0.9,0.25,271.215,275.507,314.125
90,0.08,0.9,1.25,231.525,263.42,314.125
60,0.12,0.9,1.25,306.495,316.961,313.6
90,0.12,1.2,0.25,442.103,417.102,314.125
90,0.12,0.6,1.25,181.912,191.108,314.125
90,0.16,0.6,0.75,216.09,236.497,314.125
90,0.16,0.9,1.25,377.055,382.814,314.125
90,0.16,0.9,0.25,410.13,391.787,314.125
120,0.16,0.9,0.75,397.72,388.692,314.461
