V (m/min),f (mm/rev),d (mm),np (vol. %),Ra (um)
90,0.16,1.2,0.75,2.169
60,0.12,1.2,0.75,1.893
120,0.12,0.9,1.25,1.179
60,0.12,0.6,0.75,1.787
90,0.12,0.9,0.75,1.582
60,0.12,0.9,0.25,1.995
120,0.12,1.2,0.75,1.458
120,0.08,0.9,0.75,1.435
90,0.08,1.2,0.75,1.325
60,0.08,0.9,0.75,1.459
90,0.12,0.9,0.75,1.556
120,0.12,0.9,0.25,1.548
90,0.12,1.2,1.25,1.22
90,0.12,0.9,0.75,1.528
60,0.16,0.9,0.75,2.378
120,0.12,0.6,0.75,1.652
90,0.12,0.6,0.25,1.627
90,0.08,0.6,0.75,1.288
90,0.08,0.9,0.25,1.757
90,0.08,0.9,1.25,1.222
60,0.12,0.9,1.25,1.692
90,0.12,1.2,0.25,1.689
90,0.12,0.6,1.25,1.419
90,0.16,0.6,0.75,2.125
90,0.16,0.9,1.25,1.764
90,0.16,0.9,0.25,2.196
120,0.16,0.9,0.75,1.849
