V (m/min),f (mm/rev),d (mm),np (vol. %),Ra (um),Predicted RF,Predicted SVR
90,0.16,1.2,0.75,2.712,2.661,2.029
60,0.12,1.2,0.75,2.367,2.281,2.134
120,0.12,0.9,1.25,1.474,1.859,1.923
60,0.12,0.6,0.75,2.234,2.199,2.134
90,0.12,0.9,0.75,1.978,1.976,2.029
60,0.12,0.9,0.25,2.456,2.181,2.134
120,0.12,1.2,0.75,1.823,1.865,1.923
120,0.08,0.9,0.75,1.568,1.64,1.923
90,0.08,1.2,0.75,1.656,1.813,2.029
60,0.08,0.9,0.75,1.824,1.904,2.134
90,0.12,0.9,0.75,1.945,1.976,2.029
120,0.12,0.9,0.25,1.856,1.966,1.923
90,0.12,1.2,1.25,1.901,1.944,2.028
90,0.12,0.9,0.75,1.911,1.976,2.029
60,0.16,0.9,0.75,2.973,2.656,2.134
120,0.12,0.6,0.75,1.899,1.863,1.923
90,0.12,0.6,0.25,2.034,2.061,2.029
90,0.08,0.6,0.75,1.611,1.78,2.028
90,0.08,0.9,0.25,2.197,2.041,2.029
90,0.08,0.9,1.25,1.527,1.762,2.028
60,0.12,0.9,1.25,2.116,2.129,2.134
90,0.12,1.2,0.25,2.111,2.097,2.029
90,0.12,0.6,1.25,1.899,1.925,2.028
90,0.16,0.6,0.75,2.656,2.648,2.028
90,0.16,0.9,1.25,2.455,2.648,2.028
90,0.16,0.9,0.25,2.745,2.68,2.029
120,0.16,0.9,0.75,2.499,2.544,1.923
